id;type;name;link;description;icon;longitude;latitude
157;Feature;Mienda B Pump;;;PumpSVG-02;32.3138;-4.553299
158;Feature;Mienda A Pump;;;PumpSVG-02;32.321688;-4.545664
159;Feature;Itanana Pump;;;PumpSVG-02;32.313047;-4.551511
160;Feature;Migombani Pump;;;PumpSVG-02;32.37303;-4.573552
161;Feature;Madala Pump;;;PumpSVG-02;38.12510;-4.33947 
162;Feature;Masereka Primary School Pump 1;;;PumpSVG-03;38.24204;-4.54948
163;Feature;Masereka Primary School Pump 2;;;PumpSVG-03;38.14569;-4.33005 
164;Feature;Kerenge Pump;;;PumpSVG-04;38.22389;-4.53880 
165;Feature;Nkukai Pump;;;PumpSVG-02;38.227833;-4.523867
166;Feature;Kidundai Pump;;;PumpSVG-02;38.209667;-4.521667
167;Feature;Tema Pump;;;PumpSVG-04;38.21365;-4.529117
168;Feature;Mambo Mbwai Pump;;;PumpSVG-04;38.212017;-4.51245
169;Feature;Mambo-Ziwai Pump;;;PumpSVG-02;38.21935;-4.5073
170;Feature;Kichilui Pump;;;PumpSVG-02;38.224083;-4.538283
171;Feature;Kibaoni Pump;;;PumpSVG-03;38.23338;-4.53796
